"day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS"
7,2018,1,28,"2018-01-28",43.4,43.2,1025.3,4.4,9.5,18.1,0,46,28.9,0.01,1,-1.4275526915455
4,2017,3,30,"2017-03-30",40,25.9,1020.7,10,12.8,18.1,24.1,46,34,0.15,0,0.558413855403226
2,2013,12,3,"2013-12-03",41.8,38.2,1011.1,10,11.7,18.1,24.1,46,39,0,0,-0.193978757097172
5,2012,11,30,"2012-11-30",41.3,25.8,1027.7,9.3,4.7,18.1,22.9,46,35.6,0,0,0.00724252299014367
1,2016,3,7,"2016-03-07",36.8,26.1,1023.5,9.9,9,18.1,0,46,23,0,0,-0.0365012335505771
2,2018,2,20,"2018-02-20",45.6,45.5,1027.6,2.9,12.4,18.1,24.1,48,44.1,0.06,1,-0.351456280643767
6,2017,3,25,"2017-03-25",42.9,36.8,1021.3,8.2,13.1,18.1,22.9,48,37.4,0,0,-0.0365012335505771
5,2017,12,8,"2017-12-08",41,26.6,1016.4,10,9,18.1,28,48,37.9,0,0,0.934610161653425
7,2017,1,1,"2017-01-01",44.4,33.6,1017.4,9,13.4,18.1,27,48,39,0.03,0,-0.788893846050975
2,2019,3,26,"2019-03-26",36.9,20.9,1021.3,10,10.8,18.1,25.1,48,28.9,0,0,0.304700067467045
5,2012,12,14,"2012-12-14",41.4,23.2,1024.4,10,4.1,18.1,25.1,48,28,0,0,0.637152617176523
6,2017,1,14,"2017-01-14",29.8,13.4,1035.9,10,10.2,18.1,25.1,50,25,0,0,-0.701406332969534
1,2019,4,8,"2019-04-08",46.2,45.3,1016.8,5.9,8.4,18.1,0,50,37.9,0,1,0.164720046536739
5,2019,12,13,"2019-12-13",38.7,31.8,1033.4,9.8,10.3,18.1,25.1,50,21.9,0,0,1.61701276368867
2,2019,12,24,"2019-12-24",42.8,33.7,1015.2,10,12,18.1,22,50,34,0,0,-0.395200037184488
6,2013,12,28,"2013-12-28",39.3,29.8,1022.2,9.9,10.4,18.1,24.1,50,27,0,0,-0.876381359132417
5,2018,10,26,"2018-10-26",39.8,25.4,1018.6,10,8.7,18.1,25.1,50,33.1,0,0,1.5032789966828
1,2020,3,9,"2020-03-09",44.7,38.2,1026.4,9.2,14.5,18.1,0,50,30,0,0,-0.255220016254181
4,2017,1,26,"2017-01-26",44.3,39.9,997.4,9,9.7,18.1,24.1,50,37.9,0.02,0,-0.10649124401573
2,2020,3,17,"2020-03-17",40,34.9,1028.6,7.1,13,18.1,24.1,52,30,0.05,1,-1.76000524125498
1,2017,11,27,"2017-11-27",43,28.8,1013.8,10,12.4,18.1,26,52,39,0,0,0.523418850170649
1,2018,10,22,"2018-10-22",43.3,24.9,1021,10,11.7,18.1,28,52,36,0.36,0,0.654650119792812
5,2018,2,16,"2018-02-16",44.8,44.6,1003.8,2.9,8.8,18.1,26,52,37.9,0.14,1,0.0597350308390087
3,2020,3,11,"2020-03-11",47.2,39.3,1016.5,8.7,11.7,18.1,25.1,52,39,0,0,-0.893878861748705
1,2019,12,9,"2019-12-09",48.2,43.6,1024,7.3,13.5,18.1,25.1,52,39.9,0,0,1.41579148360135
7,2018,2,11,"2018-02-11",46.3,46.3,1017.9,1.2,9.7,18.1,26,52,36,0.61,1,-0.84138635389984
6,2014,12,6,"2014-12-06",48.9,45.2,1026.7,6.8,9.8,18.1,25.1,54,32,0.13,0,0.46217759101364
6,2013,11,23,"2013-11-23",47.3,34.3,1010.4,9.6,9.9,18.1,27,54,39,0.08,0,-0.342707529335623
5,2013,11,22,"2013-11-22",46.2,41.9,1024.5,9.4,5.6,18.1,25.1,54,30.9,0,0,1.10958518781631
5,2017,10,27,"2017-10-27",54.1,43.5,1015.5,10,12.1,18.1,25.1,64,48.9,0.26,0,1.60826401238053
4,2014,10,23,"2014-10-23",59.5,57,1000.4,8.7,10.7,18.1,25.1,64,51.1,0.1,0,0.558413855403226
7,2012,10,21,"2012-10-21",56.5,39,1012.9,10,5,18.1,23.9,64,48.9,0,0,-1.30507017323148
5,2013,9,27,"2013-09-27",58.1,51.2,1020.2,10,11.5,18.1,24.1,64,46.9,0,0,-0.193978757097172
3,2015,5,27,"2015-05-27",62.4,57.8,1023.8,8.5,13.4,18.1,24.1,68,57.9,0,0,1.06584143127559
4,2019,6,6,"2019-06-06",62,59.9,1007.5,5.2,12.5,18.1,24.1,68,59,0.61,1,1.47703274275836
2,2013,9,10,"2013-09-10",65.5,57.5,1022,10,10.1,18.1,22.9,72,50,0,0,0.470926342321784
2,2016,6,14,"2016-06-14",62.2,50,1008.3,10,12.9,18.1,26,72,54,0,0,1.24081645743847
7,2018,7,22,"2018-07-22",66.5,66.2,1019.1,3.2,12.8,18.1,20,72,52,0,1,-0.307712524103046
6,2019,6,8,"2019-06-08",60.6,51.4,1019.3,9.8,9.1,18.1,22,72,51.1,0,0,0.0422375282227203
2,2012,9,11,"2012-09-11",62.8,41.8,1022.9,10,3.1,18.1,26,72,54,0,0,-0.473938798957785
2,2014,9,30,"2014-09-30",63.3,61.3,1014.7,6.7,7,18.1,0,72,62.1,0.02,0,0.120976289996018
5,2015,9,25,"2015-09-25",61.2,50.2,1027.9,10,10.3,18.1,22,73,50,0,0,0.0859812847634411
6,2017,7,8,"2017-07-08",67.3,66.8,1007,5.4,8.9,18.1,22.9,73,64,0.5,1,0.0859812847634411
2,2013,10,8,"2013-10-08",61.5,51.6,1019.7,8.7,12.2,18.1,24.1,73,52,0.47,0,-0.0102549796261447
2,2019,10,8,"2019-10-08",61.3,58,1022.2,9.3,12.1,18.1,22.9,73,57.9,0.18,0,-0.456441296341497
